"","StateName","Census","Base","Census2010","Census2011"
"1","Alabama",4779736,4779735,4785401,4802740
"2","Alaska",710231,710231,714146,722718
"3","Arizona",6392017,6392013,6413158,6482505
"4","Arkansas",2915918,2915921,2921588,2937979
"5","California",37253956,37253956,37338198,37691912
"6","Colorado",5029196,5029196,5047692,5116796
"7","Connecticut",3574097,3574097,3575498,3580709
"8","Delaware",897934,897934,899792,907135
"9","District of Columbia",601723,601723,604912,617996
"10","Florida",18801310,18801311,18838613,19057542
"11","Georgia",9687653,9687660,9712157,9815210
"12","Hawaii",1360301,1360301,1363359,1374810
"13","Idaho",1567582,1567582,1571102,1584985
"14","Illinois",12830632,12830632,12841980,12869257
"15","Indiana",6483802,6483800,6490622,6516922
"16","Iowa",3046355,3046350,3050202,3062309
"17","Kansas",2853118,2853118,2859143,2871238
"18","Kentucky",4339367,4339362,4347223,4369356
"19","Louisiana",4533372,4533372,4545343,4574836
"20","Maine",1328361,1328361,1327379,1328188
"21","Maryland",5773552,5773552,5785681,5828289
"22","Massachusetts",6547629,6547629,6555466,6587536
"23","Michigan",9883640,9883635,9877143,9876187
"24","Minnesota",5303925,5303925,5310658,5344861
"25","Mississippi",2967297,2967297,2970072,2978512
"26","Missouri",5988927,5988927,5995715,6010688
"27","Montana",989415,989415,990958,998199
"28","Nebraska",1826341,1826341,1830141,1842641
"29","Nevada",2700551,2700551,2704283,2723322
"30","New Hampshire",1316470,1316472,1316807,1318194
"31","New Jersey",8791894,8791894,8799593,8821155
"32","New Mexico",2059179,2059180,2065913,2082224
"33","New York",19378102,19378104,19395206,19465197
"34","North Carolina",9535483,9535475,9560234,9656401
"35","North Dakota",672591,672591,674629,683932
"36","Ohio",11536504,11536502,11537968,11544951
"37","Oklahoma",3751351,3751354,3760184,3791508
"38","Oregon",3831074,3831074,3838332,3871859
"39","Pennsylvania",12702379,12702379,12717722,12742886
"40","Rhode Island",1052567,1052567,1052528,1051302
"41","South Carolina",4625364,4625364,4637106,4679230
"42","South Dakota",814180,814180,816598,824082
"43","Tennessee",6346105,6346110,6357436,6403353
"44","Texas",25145561,25145561,25253466,25674681
"45","Utah",2763885,2763885,2775479,2817222
"46","Vermont",625741,625741,625909,626431
"47","Virginia",8001024,8001030,8023953,8096604
"48","Washington",6724540,6724540,6742950,6830038
"49","West Virginia",1852994,1852996,1854368,1855364
"50","Wisconsin",5686986,5686986,5691659,5711767
"51","Wyoming",563626,563626,564554,568158
